country,religionPrefix,actorNumber,count,avgGoldstein,avgAvgTone,quadClass1Percentage,quadClass2Percentage,quadClass3Percentage,quadClass4Percentage,windowIndex,windowStart
PK,MOS,2,634,-1.3717665615141954,-4.411530089268072,0.4605678233438486,0.06624605678233439,0.21293375394321767,0.26025236593059936,7,1492128000000
IN,HIN,2,504,0.002380952380952175,-2.4375016398522154,0.6507936507936508,0.06349206349206349,0.17063492063492064,0.11507936507936507,7,1492128000000
ID,MOS,2,464,-0.27456896551724125,-2.3637799551973875,0.5969827586206896,0.03017241379310345,0.2349137931034483,0.13793103448275862,7,1492128000000
EI,MOS,2,7,0.9285714285714286,-2.1077365467487517,0.8571428571428571,0.0,0.0,0.14285714285714285,7,1492128000000
HA,BUD,2,1,2.8,4.39814814814815,1.0,0.0,0.0,0.0,7,1492128000000
IT,CHR,2,291,1.5542955326460481,-0.8139201290598205,0.7869415807560137,0.0859106529209622,0.06529209621993128,0.061855670103092786,7,1492128000000
US,NRM,2,158,3.555696202531643,1.9314106457892313,0.740506329113924,0.23417721518987342,0.0,0.02531645569620253,7,1492128000000
US,BUD,2,61,0.029508196721311452,-1.992601640131748,0.6557377049180327,0.09836065573770492,0.03278688524590164,0.21311475409836064,7,1492128000000
AS,JEW,2,29,-0.2034482758620691,-3.809950847036199,0.6896551724137931,0.10344827586206896,0.034482758620689655,0.1724137931034483,7,1492128000000
FR,CHR,2,170,-1.4399999999999984,-2.203736023476064,0.5647058823529412,0.08235294117647059,0.10588235294117647,0.24705882352941178,7,1492128000000
MG,MOS,2,5,1.3599999999999999,-7.773485635882073,0.4,0.2,0.4,0.0,7,1492128000000
EG,ATH,2,2,3.0,1.33928571428572,1.0,0.0,0.0,0.0,7,1492128000000
FJ,CHR,2,14,2.407142857142857,0.1496656356315294,0.9285714285714286,0.07142857142857142,0.0,0.0,7,1492128000000
NO,HIN,2,1,3.4,2.22929936305733,1.0,0.0,0.0,0.0,7,1492128000000
IT,MOS,2,62,-0.2419354838709677,-2.54849604252832,0.5483870967741935,0.12903225806451613,0.1935483870967742,0.12903225806451613,7,1492128000000
RO,BUD,2,1,-4.0,5.15151515151515,0.0,0.0,1.0,0.0,7,1492128000000
RI,JEW,2,2,-2.5,-2.32558139534883,0.5,0.0,0.0,0.5,7,1492128000000
SZ,MOS,2,14,-1.3499999999999999,-6.245043214827281,0.6428571428571429,0.0,0.0,0.35714285714285715,7,1492128000000
LG,JEW,2,1,-10.0,-5.98159509202454,0.0,0.0,0.0,1.0,7,1492128000000
CO,ATH,2,2,3.4,-2.0501138952164,1.0,0.0,0.0,0.0,7,1492128000000
MY,NRM,2,1,3.4,5.47952853598015,1.0,0.0,0.0,0.0,7,1492128000000
KS,HIN,2,1,-2.0,-2.12765957446808,0.0,0.0,1.0,0.0,7,1492128000000
MA,CHR,2,1,1.9,0.78125,1.0,0.0,0.0,0.0,7,1492128000000
SH,SHN,2,6,-8.333333333333334,-2.9757808851826097,0.16666666666666666,0.0,0.0,0.8333333333333334,7,1492128000000
RO,JEW,2,3,2.2666666666666666,0.4911555645695967,1.0,0.0,0.0,0.0,7,1492128000000
WA,MOS,2,1,7.0,-11.3333333333334,1.0,0.0,0.0,0.0,7,1492128000000
SN,CHR,2,1,-10.0,-3.03370786516854,0.0,0.0,0.0,1.0,7,1492128000000
GM,NRM,2,1,3.4,7.202216066482,1.0,0.0,0.0,0.0,7,1492128000000
CF,MOS,2,1,-2.0,-11.6182572614108,0.0,0.0,1.0,0.0,7,1492128000000
RB,NRM,2,1,3.4,6.57439446366782,1.0,0.0,0.0,0.0,7,1492128000000
IC,CHR,2,1,4.0,1.25673249551167,1.0,0.0,0.0,0.0,7,1492128000000
RW,JEW,2,2,-1.0,-2.32558139534883,0.5,0.0,0.5,0.0,7,1492128000000
BG,ATH,2,1,1.9,-1.90100430416069,1.0,0.0,0.0,0.0,7,1492128000000
VT,BUD,2,1,1.0,-1.62337662337662,1.0,0.0,0.0,0.0,7,1492128000000
KU,CHR,2,5,2.24,3.44827586206897,1.0,0.0,0.0,0.0,7,1492128000000
BF,JEW,2,1,2.8,0.0,1.0,0.0,0.0,0.0,7,1492128000000
IZ,NRM,2,2,4.0,-1.09489051094891,1.0,0.0,0.0,0.0,7,1492128000000
IS,SIK,2,1,3.4,0.93731102600283,1.0,0.0,0.0,0.0,7,1492128000000
FI,CHR,2,2,-0.20000000000000018,-2.370220175627495,0.5,0.0,0.5,0.0,7,1492128000000
BK,JEW,2,3,0.6333333333333333,-2.9790502336830467,1.0,0.0,0.0,0.0,7,1492128000000
JM,JEW,2,4,-1.025,-1.6247545376130925,0.25,0.0,0.75,0.0,7,1492128000000
FG,MOS,2,2,3.4,-3.17359108220562,1.0,0.0,0.0,0.0,7,1492128000000
JA,ATH,2,1,3.0,-0.8841732979664,1.0,0.0,0.0,0.0,7,1492128000000
UV,MOS,2,1,-2.0,-1.02184637068358,0.0,0.0,1.0,0.0,7,1492128000000
RP,NRM,2,1,0.0,6.26865671641791,1.0,0.0,0.0,0.0,7,1492128000000
NU,CHR,2,3,3.733333333333334,-0.9637841832963767,0.6666666666666666,0.3333333333333333,0.0,0.0,7,1492128000000
SL,CHR,2,1,3.4,1.98863636363636,1.0,0.0,0.0,0.0,7,1492128000000
KE,HIN,2,1,1.9,-0.67340067340068,1.0,0.0,0.0,0.0,7,1492128000000
TW,HIN,2,1,1.9,-1.14770459081836,1.0,0.0,0.0,0.0,7,1492128000000
IT,NRM,2,2,4.2,8.512866389517445,0.5,0.5,0.0,0.0,7,1492128000000
LE,NRM,2,2,5.0,-0.78219013237063,0.0,1.0,0.0,0.0,7,1492128000000
BR,ATH,2,3,6.0,1.2099935597681466,1.0,0.0,0.0,0.0,7,1492128000000
VM,HIN,2,3,-0.5333333333333333,1.54440154440155,0.6666666666666666,0.0,0.3333333333333333,0.0,7,1492128000000
RN,CHR,2,1,3.4,0.47732696897374,1.0,0.0,0.0,0.0,7,1492128000000
KN,SIK,2,1,-2.0,-3.0384271671135,0.0,0.0,1.0,0.0,7,1492128000000
AS,JAN,2,1,0.4,0.87082728592163,1.0,0.0,0.0,0.0,7,1492128000000
CA,ATH,2,1,0.0,2.31788079470199,1.0,0.0,0.0,0.0,7,1492128000000
CO,NRM,2,2,2.3499999999999996,3.58126721763085,1.0,0.0,0.0,0.0,7,1492128000000
CO,JAN,2,1,0.4,1.19760479041916,1.0,0.0,0.0,0.0,7,1492128000000
SZ,JEW,2,2,0.5,-1.824817518248175,1.0,0.0,0.0,0.0,7,1492128000000
ID,CON,2,3,1.0,4.71512770137525,1.0,0.0,0.0,0.0,7,1492128000000
BR,JEW,2,2,1.45,-1.26984126984127,1.0,0.0,0.0,0.0,7,1492128000000
NP,CHR,2,33,-2.5030303030303034,-2.700915161029251,0.30303030303030304,0.06060606060606061,0.30303030303030304,0.3333333333333333,7,1492128000000
NO,CHR,2,4,1.85,0.42283622747362826,1.0,0.0,0.0,0.0,7,1492128000000
BM,JEW,2,3,4.0,-4.03530895334174,1.0,0.0,0.0,0.0,7,1492128000000
BH,BUD,2,1,7.0,3.34190231362468,1.0,0.0,0.0,0.0,7,1492128000000
PM,JEW,2,3,0.6,-0.7718282682103234,0.6666666666666666,0.0,0.3333333333333333,0.0,7,1492128000000
AE,BUD,2,1,4.0,5.25751072961374,1.0,0.0,0.0,0.0,7,1492128000000
CH,TAO,2,1,3.4,2.65306122448979,1.0,0.0,0.0,0.0,7,1492128000000
CF,JEW,2,1,7.0,0.26809651474531,0.0,1.0,0.0,0.0,7,1492128000000
MY,BUD,2,5,2.2600000000000002,1.1096880608966397,1.0,0.0,0.0,0.0,7,1492128000000
TD,MOS,2,7,-1.8857142857142857,-3.4945470991559735,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857,7,1492128000000
HO,CHR,2,2,0.0,-9.45273631840796,1.0,0.0,0.0,0.0,7,1492128000000
PP,MOS,2,1,0.0,5.70776255707763,1.0,0.0,0.0,0.0,7,1492128000000
RS,BUD,2,2,2.8,-3.00545138399361,1.0,0.0,0.0,0.0,7,1492128000000
BT,MOS,2,3,1.0,2.3424261260884833,1.0,0.0,0.0,0.0,7,1492128000000
CA,JAN,2,2,3.4,-0.90293453724605,1.0,0.0,0.0,0.0,7,1492128000000
RB,MOS,2,4,4.45,-5.4652194741073,0.5,0.5,0.0,0.0,7,1492128000000
FJ,ADR,2,2,2.65,0.915493088361035,1.0,0.0,0.0,0.0,7,1492128000000
ID,ATH,2,1,1.0,-10.4436325344651,1.0,0.0,0.0,0.0,7,1492128000000
GL,CHR,2,1,2.8,0.74906367041199,1.0,0.0,0.0,0.0,7,1492128000000
IR,BUD,2,5,4.119999999999999,-0.45531384668499,1.0,0.0,0.0,0.0,7,1492128000000
EI,JEW,2,8,2.7375,2.7668177135585377,0.875,0.0,0.125,0.0,7,1492128000000
BU,JEW,2,2,4.0,3.7201062887511,1.0,0.0,0.0,0.0,7,1492128000000
PK,ATH,2,1,0.0,-8.77378435517973,1.0,0.0,0.0,0.0,7,1492128000000
CO,JEW,2,1,1.9,-0.48543689320389,1.0,0.0,0.0,0.0,7,1492128000000
GG,MOS,2,6,1.0,1.20324878501357,1.0,0.0,0.0,0.0,7,1492128000000
VE,MOS,2,2,0.95,-2.864822073186735,1.0,0.0,0.0,0.0,7,1492128000000
FR,NRM,2,8,-0.19999999999999996,1.6786323783102113,0.5,0.0,0.25,0.25,7,1492128000000
TH,CHR,2,2,1.2,-3.085972897809535,1.0,0.0,0.0,0.0,7,1492128000000
AO,CHR,2,7,2.142857142857143,3.835474581445815,0.7142857142857143,0.2857142857142857,0.0,0.0,7,1492128000000
EZ,NRM,2,1,-4.0,2.40384615384615,0.0,0.0,0.0,1.0,7,1492128000000
KN,BUD,2,1,1.9,1.27758420441348,1.0,0.0,0.0,0.0,7,1492128000000
PM,MOS,2,15,-1.1400000000000001,-2.060071686261403,0.3333333333333333,0.13333333333333333,0.5333333333333333,0.0,7,1492128000000
VM,BUD,2,5,1.2,-2.406808280309114,0.6,0.0,0.2,0.2,7,1492128000000
AJ,NRM,2,2,3.4,4.67097471273921,1.0,0.0,0.0,0.0,7,1492128000000
