country,religionPrefix,actorNumber,count,avgGoldstein,avgAvgTone,quadClass1Percentage,quadClass2Percentage,quadClass3Percentage,quadClass4Percentage,windowIndex,windowStart
CA,MOS,1,3158,-1.076124129195685,-3.6567556308561584,0.5205826472450918,0.0642811906269791,0.17669411019632678,0.23844205193160228,0,1486080000000
GV,JEW,1,1,3.5,0.13605442176871,1.0,0.0,0.0,0.0,0,1486080000000
VM,BAH,1,4,1.9,5.9985041136873605,1.0,0.0,0.0,0.0,0,1486080000000
MD,NRM,1,2,0.0,0.67340067340068,1.0,0.0,0.0,0.0,0,1486080000000
BF,CHR,1,73,1.9246575342465766,0.6810672967722996,0.7534246575342466,0.0958904109589041,0.136986301369863,0.0136986301369863,0,1486080000000
PP,BUD,1,1,0.0,-4.35120697815944,1.0,0.0,0.0,0.0,0,1486080000000
PA,JEW,1,1,0.0,0.471698113207547,1.0,0.0,0.0,0.0,0,1486080000000
MT,BUD,1,1,7.0,0.1573564122738,0.0,1.0,0.0,0.0,0,1486080000000
GI,HIN,1,1,-2.0,0.0,0.0,0.0,1.0,0.0,0,1486080000000
BD,BAH,1,1,3.4,0.970873786407767,1.0,0.0,0.0,0.0,0,1486080000000
CI,ATH,1,2,-2.0,-4.94623655913979,0.0,0.0,1.0,0.0,0,1486080000000
CV,HIN,1,1,0.0,1.24610591900312,1.0,0.0,0.0,0.0,0,1486080000000
GY,NRM,1,1,8.0,0.47534165181224,1.0,0.0,0.0,0.0,0,1486080000000
NO,ATH,1,1,3.5,-2.7124773960217,1.0,0.0,0.0,0.0,0,1486080000000
CV,MOS,1,1,1.9,1.24031007751938,1.0,0.0,0.0,0.0,0,1486080000000
DJ,HIN,1,3,2.9,-2.8554718825743435,1.0,0.0,0.0,0.0,0,1486080000000
LY,NRM,1,1,1.0,-4.99265785609398,1.0,0.0,0.0,0.0,0,1486080000000
LE,BUD,1,5,-2.2,1.25668124392614,0.2,0.0,0.4,0.4,0,1486080000000
MH,CHR,1,1,1.0,1.64765525982256,1.0,0.0,0.0,0.0,0,1486080000000
WI,CHR,1,2,-5.5,-11.9369369369369,0.0,0.0,0.5,0.5,0,1486080000000
MH,HIN,1,1,1.0,1.64765525982256,1.0,0.0,0.0,0.0,0,1486080000000
RI,BUD,1,1,-10.0,-3.89357560025957,0.0,0.0,0.0,1.0,0,1486080000000
SP,JAN,1,2,-2.5,2.54143646408839,0.5,0.0,0.0,0.5,0,1486080000000
MT,HIN,1,1,1.9,1.78571428571428,1.0,0.0,0.0,0.0,0,1486080000000
PL,JAN,1,1,2.8,-5.16129032258065,1.0,0.0,0.0,0.0,0,1486080000000
NZ,ADR,1,2,-4.0,0.35123432651720354,0.0,0.0,1.0,0.0,0,1486080000000
CY,NRM,1,1,7.0,2.43445692883895,0.0,1.0,0.0,0.0,0,1486080000000
BC,NRM,1,1,1.0,3.64963503649635,1.0,0.0,0.0,0.0,0,1486080000000
TZ,JAN,1,1,0.0,-3.42741935483871,1.0,0.0,0.0,0.0,0,1486080000000
ET,NRM,1,3,1.2666666666666666,5.204014515270933,0.6666666666666666,0.0,0.3333333333333333,0.0,0,1486080000000
LI,BUD,1,2,0.0,-5.67375886524823,1.0,0.0,0.0,0.0,0,1486080000000
WS,BUD,1,1,3.0,1.43884892086331,1.0,0.0,0.0,0.0,0,1486080000000
CD,BUD,1,2,0.7,5.57717250324254,0.5,0.0,0.5,0.0,0,1486080000000
JE,BUD,1,8,1.9000000000000001,-2.07996442551333,1.0,0.0,0.0,0.0,0,1486080000000
LE,ATH,1,3,-6.666666666666667,-1.5284081382032,0.3333333333333333,0.0,0.0,0.6666666666666666,0,1486080000000
OC,HIN,1,1,3.4,1.8018018018018,1.0,0.0,0.0,0.0,0,1486080000000
RE,JEW,1,1,3.0,2.71158586688578,1.0,0.0,0.0,0.0,0,1486080000000
NP,ZRO,1,1,1.9,-1.07913669064749,1.0,0.0,0.0,0.0,0,1486080000000
US,CON,1,4,5.5,2.0501138952164,0.5,0.5,0.0,0.0,0,1486080000000
MZ,HIN,1,1,4.0,5.08826583592938,1.0,0.0,0.0,0.0,0,1486080000000
PP,HIN,1,1,3.4,2.1978021978022,1.0,0.0,0.0,0.0,0,1486080000000
AC,JEW,1,2,2.45,2.66075388026607,1.0,0.0,0.0,0.0,0,1486080000000
BK,HIN,1,5,-1.9600000000000002,0.976547326761698,0.6,0.0,0.0,0.4,0,1486080000000
SN,CON,1,1,3.4,-2.50628140703517,1.0,0.0,0.0,0.0,0,1486080000000
RQ,BUD,1,7,4.057142857142857,-3.214448377978138,0.42857142857142855,0.5714285714285714,0.0,0.0,0,1486080000000
SL,SHN,1,1,-0.4,-2.37659963436928,1.0,0.0,0.0,0.0,0,1486080000000
GA,JEW,1,2,-0.2,-0.74576271186441,1.0,0.0,0.0,0.0,0,1486080000000
HO,NRM,1,1,3.4,2.69749518304432,1.0,0.0,0.0,0.0,0,1486080000000
KN,JAN,1,2,-10.0,-4.32098765432099,0.0,0.0,0.0,1.0,0,1486080000000
TX,HIN,1,2,2.8,3.975421154377245,1.0,0.0,0.0,0.0,0,1486080000000
BY,MOS,1,8,-4.5,-4.015900942337644,0.125,0.0,0.5,0.375,0,1486080000000
CJ,NRM,1,3,0.0,4.87678644025393,1.0,0.0,0.0,0.0,0,1486080000000
WS,JEW,1,1,5.0,-2.43902439024391,0.0,1.0,0.0,0.0,0,1486080000000
TD,ATH,1,1,0.0,-2.28526398739165,1.0,0.0,0.0,0.0,0,1486080000000
AJ,HIN,1,8,2.9499999999999997,1.0401733914783664,1.0,0.0,0.0,0.0,0,1486080000000
UK,ADR,1,1,3.0,0.45924225028702,1.0,0.0,0.0,0.0,0,1486080000000
TN,MOS,1,1,7.0,-5.33333333333334,0.0,1.0,0.0,0.0,0,1486080000000
LA,JEW,1,5,2.5200000000000005,1.4936120789779301,1.0,0.0,0.0,0.0,0,1486080000000
FJ,BUD,1,1,-4.0,0.5763688760807,0.0,0.0,1.0,0.0,0,1486080000000
TD,JEW,1,4,2.3499999999999996,-0.71178656057418,1.0,0.0,0.0,0.0,0,1486080000000
SZ,SHN,1,2,4.0,3.156146179402,1.0,0.0,0.0,0.0,0,1486080000000
MP,JEW,1,9,2.1888888888888887,1.525398667055122,1.0,0.0,0.0,0.0,0,1486080000000
NL,BUD,1,3,-0.4000000000000001,-4.36534586971121,0.3333333333333333,0.0,0.6666666666666666,0.0,0,1486080000000
MR,CHR,1,3,0.0,-2.104664096755507,0.0,0.3333333333333333,0.6666666666666666,0.0,0,1486080000000
SA,BAH,1,1,-5.0,-5.93927260593927,0.0,0.0,0.0,1.0,0,1486080000000
UY,NRM,1,1,1.0,-2.6,1.0,0.0,0.0,0.0,0,1486080000000
WE,ATH,1,1,-2.0,-11.0851808634772,0.0,0.0,1.0,0.0,0,1486080000000
KZ,JAN,1,2,1.0,1.8628171951072474,1.0,0.0,0.0,0.0,0,1486080000000
SI,ATH,1,3,1.8666666666666665,0.8957964456685733,1.0,0.0,0.0,0.0,0,1486080000000
QA,HIN,1,7,1.0285714285714287,5.911986409608919,0.7142857142857143,0.0,0.2857142857142857,0.0,0,1486080000000
CT,JEW,1,5,2.8,-0.36098981281233605,1.0,0.0,0.0,0.0,0,1486080000000
UP,BUD,1,1,0.0,1.53374233128834,1.0,0.0,0.0,0.0,0,1486080000000
MN,HIN,1,1,3.0,6.91489361702128,1.0,0.0,0.0,0.0,0,1486080000000
CS,JEW,1,7,3.3999999999999995,3.0894092960158552,1.0,0.0,0.0,0.0,0,1486080000000
NU,BUD,1,3,-3.1666666666666665,-5.097664766173049,0.6666666666666666,0.0,0.0,0.3333333333333333,0,1486080000000
PO,JAN,1,2,-7.5,-6.253658550279755,0.0,0.0,0.0,1.0,0,1486080000000
PO,SHN,1,1,-5.0,-3.58565737051793,0.0,0.0,0.0,1.0,0,1486080000000
SO,BUD,1,1,-5.0,-4.18118466898955,0.0,0.0,0.0,1.0,0,1486080000000
SA,ADR,1,1,1.0,-0.71315372424723,1.0,0.0,0.0,0.0,0,1486080000000
BF,JAN,1,1,-5.0,-0.37091988130564,0.0,0.0,0.0,1.0,0,1486080000000
GL,MOS,1,6,2.766666666666666,0.026728995430144398,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0,1486080000000
GJ,JEW,1,1,-2.0,-4.69798657718121,0.0,0.0,1.0,0.0,0,1486080000000
DA,SIK,1,2,-10.0,1.8400808618022948,0.0,0.0,0.0,1.0,0,1486080000000
AS,ADR,1,2,4.65,1.6034637205135898,0.5,0.5,0.0,0.0,0,1486080000000
IZ,TAO,1,1,1.0,1.92878338278932,1.0,0.0,0.0,0.0,0,1486080000000
UP,NRM,1,5,-1.92,2.5022412294161542,0.8,0.0,0.0,0.2,0,1486080000000
LT,MOS,1,8,-1.2625,-0.3987944488790949,0.625,0.0,0.0,0.375,0,1486080000000
LT,SHN,1,2,-9.6,-7.45098039215686,0.0,0.0,0.0,1.0,0,1486080000000
QA,JAN,1,7,3.3428571428571425,4.987896830542497,0.8571428571428571,0.14285714285714285,0.0,0.0,0,1486080000000
KN,CON,1,1,-10.0,-3.27142254115661,0.0,0.0,0.0,1.0,0,1486080000000
BX,HIN,1,7,-0.9000000000000001,-2.057205148156817,0.7142857142857143,0.0,0.0,0.2857142857142857,0,1486080000000
KU,NRM,1,2,5.2,8.525323089120054,0.5,0.5,0.0,0.0,0,1486080000000
UG,BUD,1,2,-4.05,-6.01634659534338,0.5,0.0,0.0,0.5,0,1486080000000
CW,CHR,1,1,1.9,0.289017341040463,1.0,0.0,0.0,0.0,0,1486080000000
IS,ADR,1,11,-2.618181818181818,-8.081812838686936,0.6363636363636364,0.0,0.0,0.36363636363636365,0,1486080000000
MV,BUD,1,2,-3.0,0.25380710659899,0.5,0.0,0.0,0.5,0,1486080000000
NS,MOS,1,7,6.828571428571428,1.8792558118213374,0.0,1.0,0.0,0.0,0,1486080000000
GB,MOS,1,9,-2.888888888888889,-3.2000415151796826,0.4444444444444444,0.1111111111111111,0.0,0.4444444444444444,0,1486080000000
CS,BUD,1,15,-1.0133333333333332,-3.7778007121595407,0.5333333333333333,0.0,0.2,0.26666666666666666,0,1486080000000
BC,HIN,1,3,2.2666666666666666,5.527756696380716,1.0,0.0,0.0,0.0,0,1486080000000
CF,SIK,1,1,3.4,0.46583850931677,1.0,0.0,0.0,0.0,0,1486080000000
RP,SHN,1,1,-2.0,-0.12953367875647,0.0,1.0,0.0,0.0,0,1486080000000
KV,BUD,1,1,-2.0,-0.925925925925924,0.0,1.0,0.0,0.0,0,1486080000000
JA,SHN,1,2,-2.0,-0.12953367875647,0.0,1.0,0.0,0.0,0,1486080000000
MK,ATH,1,1,3.4,-3.67734282325029,1.0,0.0,0.0,0.0,0,1486080000000
AY,JEW,1,6,-2.05,-2.537346895597923,0.6666666666666666,0.0,0.0,0.3333333333333333,0,1486080000000
LI,JEW,1,4,-0.3500000000000001,-2.956869953490635,0.25,0.25,0.5,0.0,0,1486080000000
GH,SIK,1,1,0.0,5.2790346907994,1.0,0.0,0.0,0.0,0,1486080000000
CO,HIN,1,10,0.37000000000000005,-0.08658698002157598,0.7,0.1,0.1,0.1,0,1486080000000
AU,HIN,1,4,3.5,4.606509197428318,0.75,0.25,0.0,0.0,0,1486080000000
SL,HIN,1,3,3.4333333333333336,2.86160175923955,1.0,0.0,0.0,0.0,0,1486080000000
SE,NRM,1,1,4.0,1.71821305841924,1.0,0.0,0.0,0.0,0,1486080000000
